*****************************
Basic coeficients
*****************************
Alpha, Cd
   120.0    ,     .000    
   175.0    ,     .000    

*****************************
Flap terms
*****************************
*****************************
Aileron terms
*****************************
*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,     .000    
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,    .1000E-29
   175.0    ,     .000    

DeltaElev, CL_Elev

DeltaElev, Cm_Elev

DeltaElev, CLa_Elev

DeltaElev, Cha_Elev

DeltaElev, Chd_Elev



